_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
12,773067,890,Bloor St W,890 Bloor St W,M6G 1M5,former TORONTO,Toronto,1143576,890,None,,None,458,University-Rosedale (1111),1811755,12,8,Yes,No,No,concrete,Approved,Ossington TTC,adjacent Bike Share stn - councillor request,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4255756769579, 43.6622248200601]]}"
13,773157,1032,Bloor St W,1032 Bloor St W,M6H 1M2,former TORONTO,Toronto,1143789,1032,None,,None,458,Davenport (909),2708366,13,8,No,No,No, ,Installed, ,One 8-bike rack,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4316062598435, 43.6609569224604]]}"
14,773158,1034,Bloor St W,1034 Bloor St W,M6H 1M3,former TORONTO,Toronto,1143821,1034,None,,None,458,Davenport (909),2512369,14,5,No,No,No, ,Installed, ,One 5-bike angled rack,Multi-Bike Rack (Angled),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4319342255372, 43.6608848734219]]}"
15,773911,122,Bond St,122 Bond St,M5B 1X8,former TORONTO,Toronto,14021112,122,None,,None,3029,Toronto Centre (1313),2034865,15,16,No,No,No,marble paver,Installed, ,white mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3791387851816, 43.6573781216217]]}"
16,773913,137,Bond St,137 Bond St,M5B 1Y2,former TORONTO,Toronto,14021112,137,None,,None,3029,Toronto Centre (1313),1862386,16,8,No,No,No,concrete,Installed, ,"bikes face east, white mark",Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3787181688475, 43.6578227118334]]}"
17,785313,429,College St,429 College St,M5T 1T2,former TORONTO,Toronto,1144402,429,None,,None,9765,University-Rosedale (1111),1518130,17,8,No,No,No,concrete,Installed, ,5m from info pillar,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4072847841266, 43.6562832334016]]}"
18,785507,802,College St,802 College St,M6G 1C8,former TORONTO,Toronto,1144782,802,None,,None,9765,University-Rosedale (1111),1984091,18,8,No,No,No,pavers,Installed, , ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4217098646824, 43.6548443189396]]}"
19,785590,940,College St,940 College St,M6H 1A5,former TORONTO,Toronto,14018364,940,None,,None,9765,Davenport (909),2583303,19,8,No,No,No,concrete,Installed, ,Councillor request,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4266277065843, 43.6537429799659]]}"
20,825934,55,John St,55 John St,M5V 3C6,former TORONTO,Toronto,1146312,55,None,,None,9747,Spadina-Fort York (1010),2825729,20,16,No,No,No, ,Installed,Metro Hall,at rotunda,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3889314920572, 43.6461537935103]]}"
21,828085,200,King St E,200 King St E,M5A 3W8,former TORONTO,Toronto,1145266,200,None,,None,3779,Toronto Centre (1313),2728735,21,16,No,No,No, ,Installed, ,east side of George north of King in No Parking zone,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3701856494981, 43.651100464219]]}"
22,828221,150,King St W,150 King St W,M5H 1J9,former TORONTO,Toronto,1145855,150,None,,None,3780,Spadina-Fort York (1010),2778660,22,8,Yes,No,No,marble,Installed,King TTC, ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3842322745632, 43.6482142784795]]}"
23,856375,100,Queen St W,100 Queen St W,M5H 2N1,former TORONTO,Toronto,1145216,100,None,,None,4238,Spadina-Fort York (1010),4326298,23,40,No,No,No, ,Installed,City Hall,Inside parking garage,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3836250552132, 43.6528221423182]]}"
24,856701,686,Queen St W,686 Queen St W,M6J 1E7,former TORONTO,Toronto,1146191,686,None,,None,4238,Spadina-Fort York (1010),1824985,24,10,No,No,Yes, ,Installed, ,on the Euclid boulevard 25m north of Queen,Bike Shelter,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4079437964715, 43.646578203587]]}"
25,866475,180,Shaw St,180 Shaw St,M6J 2W5,former TORONTO,Toronto,14018156,180,None,,None,4388,Spadina-Fort York (1010),2662860,25,18,No,No,Yes, ,Installed, ,Queen West Parking Study; Artscape Youngplace,Bike Shelter,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4175862610454, 43.6468989083573]]}"
26,880972,241,Wellington St W,241 Wellington St W,None,former TORONTO,Toronto,1146352,241,None,,None,4652,Spadina-Fort York (1010),2708750,26,16,No,No,No,concrete,Installed, ,"on John St, 50m south of Wellington",Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3900134101984, 43.6449521397727]]}"
27,887713,1140,Yonge St,1140 Yonge St,M4W 2L8,former TORONTO,Toronto,1140465,1140,None,,None,4733,University-Rosedale (1111),2567776,27,8,No,No,No,concrete,Installed, ,west of post box,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3910471597584, 43.6795102439657]]}"
28,2767344,5,Bellevue Ave,5 Bellevue Ave,None,former TORONTO,Toronto,2767316,5,None,,None,2983,University-Rosedale (1111),3835209,28,14,No,No,No, ,Proposed, ,east side of Augusta at park in P& D,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4019219860659, 43.653721716631]]}"
29,2854062,522,University Ave,522 University Ave,M5G 1W7,former TORONTO,Toronto,2854059,522,None,,None,4583,University-Rosedale (1111),1684029,29,16,No,No,No,concrete,Installed, ,adjacent to planters,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3893801203605, 43.6559184351809]]}"
30,3120556,1030,King St W,1030 King St W,M6K 0B4,former TORONTO,Toronto,3155022,1030,None,,None,3780,Spadina-Fort York (1010),2290040,30,16,No,No,No,concrete,Installed, ,at Strachan  and west at Sleep Country,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4157586754681, 43.6415808536674]]}"
31,6047970,901,King St W,901 King St W,M5V 3H5,former TORONTO,Toronto,14024874,901,None,,None,3780,Spadina-Fort York (1010),1560247,31,8,No,No,No,pavers,Installed, ,white mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4112467839912, 43.641872432814]]}"
32,6292601,3530,Sheppard Ave E,3530 Sheppard Ave E,M1T 3K7,SCARBOROUGH,Toronto,6292597,3530,None,,None,6698,Scarborough-Agincourt (2222),2527726,32,8,No,No,No, ,Installed, ,Mayor's Office request,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.303096242086, 43.7812077532627]]}"
33,6620141,991,Woodbine Ave,991 Woodbine Ave,None,former TORONTO,Toronto,14023398,991,None,,None,391,Beaches-East York (1919),3167183,33,32,Yes,No,No,concrete,Approved,Woodbine TTC,Awaiting TTC construction (Woodbine Station),Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3127678972541, 43.6864135582527]]}"
34,6924847,725,Bathurst St,725 Bathurst St,M5S 2R5,former TORONTO,Toronto,6924827,725,None,,None,436,University-Rosedale (1111),2865477,34,14,No,No,No, ,Installed, ,"On grass, across from CSI/Theatre",Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4098085572117, 43.6627041125525]]}"
35,6924850,702,Bathurst St,702 Bathurst St,M5S 2R4,former TORONTO,Toronto,6924849,702,None,,None,436,University-Rosedale (1111),2449394,35,14,No,Yes,No, ,Installed, ,north side of Herrick,Bike Corral,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4105046596053, 43.6627422312458]]}"
36,7389731,71,Second St,71 Second St,M8V 2X4,ETOBICOKE,Toronto,7389724,71,None,,None,2447,Etobicoke-Lakeshore (303),2197834,36,8,No,No,No,concrete,Installed, ,0.5m back from limit of concrete,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4997662581739, 43.6036684223915]]}"
37,7466874,516,Glenlake Ave,516 Glenlake Ave,None,former TORONTO,Toronto,7466844,516,None,,None,3546,Parkdale-High Park (404),3835905,37,8,No,No,No,brick pavers,Installed, ,TDSB request for Ursula Franklin Academy,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4741048220362, 43.6561212464489]]}"
38,7553263,1186,Queen St W,1186 Queen St W,M6J 1J6,former TORONTO,Toronto,7553262,1186,None,,None,4238,Davenport (909),3054362,38,14,No,No,No, ,Installed, ,"parking stall design; on Northcote, not Queen",Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4262248352553, 43.6429348457192]]}"
39,7569577,798,Richmond St W,798 Richmond St W,M6J 3P3,former TORONTO,Toronto,7569576,798,None,,None,4277,Spadina-Fort York (1010),1684783,39,24,No,No,No,concrete,Installed, ,on Niagara betw tree pits,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4098108572165, 43.6451297244944]]}"
40,7570973,12,Ossington Ave,12 Ossington Ave,M6J 2Y7,former TORONTO,Toronto,7570969,12,None,,None,4125,Spadina-Fort York (1010),3040336,40,5,No,No,No,concrete,Installed, ,1m south of bus stop,Multi-Bike Rack (Angled),"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4193781682054, 43.6444593301141]]}"
41,7641979,21,Gerrard St E,21 Gerrard St E,None,former TORONTO,Toronto,7641994,21,None,,None,3495,Toronto Centre (1313),3168834,41,16,No,No,No,concrete,Installed, ,White mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3810999113837, 43.6591625171397]]}"
42,10924257,83,Gould St,83 Gould St,None,former TORONTO,Toronto,10924256,83,None,,None,3563,Toronto Centre (1313),2526316,42,8,No,No,No,brick pavers,Approved, ,On hold,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3766028005129, 43.6583472608541]]}"
43,7642554,277,Victoria St,277 Victoria St,M5B 1W2,former TORONTO,Toronto,30075808,277,None,,None,9790,Toronto Centre (1313),4096749,43,8,No,No,No,concrete,Installed, , ,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3793385702209, 43.6565589127866]]}"
44,7730077,400,Yonge St,400 Yonge St,None,former TORONTO,Toronto,7730098,400,None,,None,4733,University-Rosedale (1111),3176699,44,8,No,No,No,concrete,Installed, ,white mark,Multi-Bike Rack,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3826468222595, 43.6595417671268]]}"
